Id,SalePrice
1461,114655.09845201304
1462,150685.30679670293
1463,170169.25794490855
1464,196610.83661248322
1465,199842.15916219132
1466,171236.11398103135
1467,184668.68266589404
1468,164867.01406197782
1469,188603.50826810856
1470,118302.75691647285
1471,172217.1832874979
1472,96810.7429768042
1473,94202.61126293955
1474,152745.07892859008
1475,119840.54177055621
1476,323078.7427690919
1477,230357.22437086882
1478,306445.4869399166
1479,283262.22413398663
1480,472426.3005715082
1481,320838.99865525716
1482,215649.72516393673
1483,169147.2793218879
1484,174673.65224715686
1485,197916.62514259556
1486,195478.03995727282
1487,325621.3469531352
1488,228199.539317343
1489,182567.67953170906
1490,238292.24500038577
1491,188676.11795582896
1492,99010.33663387295
1493,197728.96429764817
1494,287824.50293145597
1495,288033.5967719332
1496,229867.948380103
1497,177766.25686983464
1498,174045.22904811573
1499,173756.16330848684
1500,172972.81771394628
1501,176382.42125556094
1502,164347.26853821136
1503,269363.50218886044
1504,246782.81837032983
1505,231928.26608589868
1506,191176.4741251565
1507,234787.36198362618
1508,191346.81381859473
1509,155570.52217221516
1510,140496.57254740514
1511,146946.8809759091
1512,169256.74073004935
1513,145503.3295372824
1514,152061.41151269886
1515,182320.61143125253
1516,150565.40001487074
1517,169818.9336663279
1518,134646.03834439232
1519,200141.2447359792
1520,122932.1248021221
1521,118128.3542188899
1522,174145.52742614853
1523,107333.86803619732
1524,114599.70027632357
1525,116944.36856430587
1526,109483.20257762317
1527,112600.12339813863
1528,139718.7866315984
1529,137834.48667896847
1530,193526.34618295537
1531,126891.77602181822
1532,100092.84526308764
1533,138164.99323221404
1534,116548.30486853879
1535,137273.9171090478
1536,105826.54270041769
1537,69882.21157055291
1538,151098.7088566622
1539,184515.7125592228
1540,90070.34531037006
1541,122616.17698688681
1542,128957.07718209908
1543,164224.67827835967
1544,86271.33131970886
1545,111554.70306486626
1546,130163.53063069163
1547,120956.11635153861
1548,121125.67816345328
1549,115651.52285590202
1550,124015.7505686505
1551,108057.53230577856
1552,139104.95435038357
1553,134465.15872284104
1554,119589.6462090673
1555,162598.6309901215
1556,98484.33041476706
1557,93967.62947968644
1558,100217.79490021295
1559,78304.54232097616
1560,133963.04399755519
1561,114591.68254789306
1562,133288.30507629312
1563,115317.90352525866
1564,153871.23329780067
1565,136644.87113409472
1566,231264.65560138095
1567,80264.16696568065
1568,244817.44612992255
1569,125464.30774850228
1570,146254.81296776308
1571,119549.31964874783
1572,134186.15654966581
1573,190934.4741511672
1574,115065.97054917671
1575,223905.71008013407
1576,251716.61372330962
1577,183181.53233887194
1578,147256.97153398444
1579,149112.5438080719
1580,194784.42555034594
1581,167208.42570044223
1582,133634.88528886985
1583,294093.9130916754
1584,225166.34401347712
1585,144818.19026455394
1586,70887.92592435969
1587,109536.55619311414
1588,142153.49226689036
1589,102040.89410493527
1590,128884.47823420665
1591,94302.90923096372
1592,110043.81365835998
1593,134587.8080610409
1594,120684.10738825536
1595,108741.50853606802
1596,213383.2144802253
1597,187214.15992619935
1598,203554.6522126674
1599,164899.9254158406
1600,160827.485299055
1601,66744.63057656797
1602,111970.14068643985
1603,83870.46718206508
1604,241144.0099592311
1605,235110.34204871993
1606,165011.56463430176
1607,171864.51843122076
1608,231141.90896161384
1609,180600.52785990687
1610,159243.7173544475
1611,139423.8884822553
1612,164568.94620524903
1613,164872.81070548604
1614,124366.40392131347
1615,91392.48563321303
1616,76196.2752534613
1617,90741.51046149505
1618,126361.36792912314
1619,141881.4922781762
1620,170407.85805542747
1621,132517.96577190325
1622,147554.7272257029
1623,257357.5761331224
1624,206848.94280149558
1625,110774.42270941363
1626,168564.319978924
1627,186096.90641814307
1628,275582.3031709252
1629,186936.5871597401
1630,317076.67091523454
1631,206235.20572911663
1632,223298.41370812952
1633,183194.93749622273
1634,189798.31008144934
1635,182363.7603864314
1636,162783.55021085657
1637,197161.56908343115
1638,206660.3398839442
1639,183145.43673512805
1640,247112.01978117565
1641,181491.30156283532
1642,247586.66385819216
1643,235733.7425710513
1644,242770.66554736166
1645,237033.99159440628
1646,169397.2389670661
1647,155022.6656947417
1648,124898.47915800945
1649,142025.21490865646
1650,122175.01605588257
1651,127063.82433885183
1652,99503.91073436518
1653,103005.64537524845
1654,148644.06409110402
1655,142904.84259932087
1656,143905.0615097917
1657,147431.46074862935
1658,148977.23123635128
1659,121784.85822054204
1660,160650.00529616285
